Camera FOV Intensity Image
Timestamp,20260210_173649
FOV Width (cm),76.73
FOV Height (cm),57.74
Grid Size,77 x 58
Cell Size (cm),1.0
Cell Area (mm²),100.0
Total Lumens,412.87
Max Lux,6302.47

Intensity Grid (Lumens per cell)

0.1185,0.0000,0.0357,0.0000,0.1564,0.0000,0.0000,0.2507,0.0000,0.1271,0.0000,0.0210,0.2570,0.1629,0.0000,0.1286,0.0000,0.2550,0.1274,0.0000,0.1255,0.1735,0.1233,0.0535,0.0000,0.0000,0.1785,0.0000,0.1133,0.5120,0.0686,0.1083,0.0000,0.1038,0.0788,0.0978,0.0000,0.0893,0.2705,0.0000,0.0000,0.0000,0.0795,0.0000,0.1050,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1740,0.1204,0.1744,0.0100,0.0000,0.0000,0.3911,0.0130,0.0000,0.3201,0.0000,0.0000,0.0000,0.1285,0.0000,0.1276,0.0000,0.1263,0.0000,0.0000,0.1242,0.0214,0.0000,0.1196,0.0000,0.0000
0.0109,0.1185,0.0000,0.1203,0.2445,0.3708,0.0000,0.1466,0.1263,0.1267,0.2659,0.1279,0.2564,0.1284,0.1642,0.0002,0.0151,0.0000,0.1694,0.0000,0.0000,0.1236,0.2458,0.1225,0.1201,0.1182,0.0581,0.1141,0.0000,0.0000,0.0687,0.0000,0.1815,0.0000,0.0996,0.0000,0.0000,0.1778,0.0000,0.1779,0.0943,0.0823,0.3028,0.1046,0.1042,0.0067,0.0000,0.2249,0.1146,0.0000,0.0000,0.1259,0.0000,0.0000,0.1239,0.2597,0.1255,0.0443,0.1268,0.1376,0.1282,0.1447,0.0097,0.0000,0.0199,0.0000,0.1273,0.2539,0.1261,0.2505,0.0000,0.0000,0.1218,0.1309,0.0367,0.2364,0.0000
0.2315,0.1179,0.0000,0.0113,0.1207,0.2451,0.2712,0.2492,0.0000,0.0000,0.1271,0.0298,0.0000,0.0000,0.0000,0.3832,0.0107,0.0000,0.0424,0.2521,0.1247,0.0000,0.0000,0.1214,0.0000,0.1175,0.2926,0.2906,0.0000,0.2214,0.0000,0.3281,0.0073,0.0763,0.0000,0.1031,0.0000,0.0000,0.0894,0.0841,0.0840,0.1961,0.1792,0.0000,0.3125,0.2142,0.0000,0.0000,0.0631,0.1162,0.2347,0.3571,0.1198,0.2437,0.2446,0.0489,0.0000,0.0000,0.1803,0.0393,0.1427,0.0356,0.1616,0.1281,0.0000,0.0000,0.1387,0.3797,0.0259,0.1240,0.0000,0.0310,0.1208,0.0000,0.0000,0.1172,0.1153
0.0000,0.1162,0.1191,0.2395,0.0307,0.0000,0.1236,0.0000,0.1254,0.0000,0.1262,0.1267,0.1273,0.1275,0.0165,0.0000,0.1271,0.0392,0.0419,0.0107,0.0000,0.2468,0.1737,0.0000,0.1201,0.1211,0.1164,0.0610,0.0094,0.2225,0.1069,0.1066,0.0000,0.0000,0.2764,0.0813,0.0000,0.0000,0.0905,0.0000,0.0000,0.0983,0.0991,0.1780,0.0000,0.0703,0.3263,0.0653,0.2914,0.0052,0.1155,0.1176,0.1196,0.1213,0.3677,0.0000,0.1701,0.1254,0.0000,0.0000,0.0000,0.3816,0.3222,0.1274,0.1269,0.0000,0.1260,0.1389,0.2497,0.2478,0.1224,0.0123,0.1204,0.1202,0.3528,0.0000,0.0000
0.1142,0.0353,0.0000,0.0000,0.2421,0.2862,0.1602,0.0000,0.2500,0.0000,0.2513,0.0000,0.1269,0.0000,0.1265,0.1268,0.1263,0.1390,0.0000,0.0000,0.0000,0.0091,0.2431,0.2903,0.2233,0.1176,0.1139,0.0641,0.0000,0.0630,0.1060,0.1182,0.2042,0.1505,0.0000,0.1629,0.1816,0.2622,0.0000,0.0850,0.1855,0.0000,0.0984,0.0000,0.2474,0.0000,0.0000,0.1085,0.0000,0.0000,0.1148,0.0000,0.2373,0.0496,0.0000,0.0542,0.4967,0.2493,0.1647,0.1264,0.2884,0.1266,0.0000,0.1572,0.0000,0.2515,0.1257,0.0000,0.1374,0.1234,0.0554,0.0000,0.1210,0.0000,0.2353,0.0000,0.2676
0.3779,0.0154,0.0000,0.2356,0.1186,0.2398,0.3660,0.0000,0.1236,0.1240,0.1730,0.0144,0.2515,0.2520,0.1583,0.0000,0.0000,0.1246,0.1783,0.0000,0.0134,0.1224,0.0000,0.1193,0.1185,0.0000,0.0000,0.1122,0.3938,0.1725,0.1135,0.3163,0.1132,0.0000,0.0765,0.1723,0.0808,0.0853,0.0000,0.0000,0.0915,0.1757,0.0984,0.0809,0.1741,0.2774,0.0000,0.2815,0.0000,0.1182,0.2300,0.0000,0.0000,0.0000,0.1207,0.0458,0.1242,0.0000,0.0779,0.2506,0.1258,0.0000,0.3931,0.1262,0.0176,0.1254,0.0000,0.0155,0.1382,0.1230,0.0000,0.0151,0.0000,0.1180,0.0000,0.0365,0.0000
0.0000,0.1508,0.0000,0.1176,0.0000,0.0000,0.0000,0.0000,0.2689,0.2458,0.2816,0.0000,0.1419,0.1247,0.1253,0.1249,0.0156,0.4105,0.0000,0.1225,0.0000,0.1212,0.0000,0.1198,0.0000,0.0000,0.0000,0.0000,0.1104,0.0000,0.0000,0.2484,0.0000,0.0000,0.0000,0.2531,0.1743,0.1711,0.0854,0.0000,0.0912,0.1539,0.1515,0.0067,0.0000,0.0062,0.3432,0.0000,0.1102,0.1115,0.1135,0.0000,0.1176,0.0071,0.1211,0.1217,0.0571,0.1234,0.1615,0.0000,0.1248,0.0000,0.1249,0.1717,0.2494,0.2692,0.1410,0.1242,0.1229,0.0000,0.2421,0.0431,0.1180,0.0000,0.0000,0.0000,0.0000
0.2422,0.0329,0.1146,0.1156,0.1178,0.1178,0.0172,0.2402,0.1213,0.0000,0.1674,0.2470,0.0000,0.2477,0.0000,0.2473,0.0000,0.2461,0.4911,0.2448,0.1217,0.0000,0.2365,0.0000,0.0000,0.0528,0.2265,0.1098,0.0000,0.0000,0.1058,0.1024,0.1007,0.0000,0.0000,0.1694,0.2609,0.0842,0.1701,0.0095,0.0000,0.0109,0.0000,0.0970,0.1018,0.1681,0.1054,0.3255,0.0602,0.0133,0.1184,0.1159,0.1672,0.1176,0.5969,0.1806,0.0000,0.2847,0.2453,0.2473,0.1576,0.0170,0.0000,0.0000,0.1236,0.0270,0.1228,0.1222,0.3634,0.0000,0.2407,0.3544,0.0000,0.0000,0.0000,0.4495,0.1122
0.0000,0.0000,0.0168,0.0296,0.0000,0.1172,0.0000,0.0000,0.1207,0.1797,0.0000,0.0000,0.0000,0.0000,0.2464,0.2662,0.1230,0.2550,0.2434,0.0000,0.0000,0.0000,0.2357,0.0000,0.0000,0.0000,0.2739,0.3285,0.2174,0.1051,0.1015,0.1653,0.1672,0.0983,0.0745,0.2301,0.3262,0.0000,0.0000,0.0000,0.1673,0.0910,0.0942,0.0976,0.0687,0.0000,0.3341,0.0000,0.0000,0.1103,0.0000,0.0508,0.1316,0.1173,0.0000,0.1185,0.0179,0.1389,0.3844,0.1411,0.1222,0.0000,0.1525,0.1614,0.0000,0.1406,0.0000,0.0000,0.1200,0.1179,0.1177,0.1817,0.1166,0.0000,0.0000,0.0332,0.0000
0.0000,0.2419,0.0000,0.1121,0.0207,0.0000,0.1175,0.1173,0.1189,0.1386,0.0000,0.0000,0.1208,0.2432,0.0000,0.0000,0.1851,0.0000,0.0000,0.0086,0.1185,0.1179,0.0628,0.1146,0.1308,0.1127,0.1112,0.1097,0.3374,0.1055,0.1048,0.0154,0.0139,0.0000,0.0131,0.0744,0.1752,0.2529,0.0000,0.1667,0.0885,0.0738,0.0710,0.0702,0.2014,0.1178,0.3092,0.1662,0.1077,0.2179,0.2219,0.1122,0.0000,0.0899,0.0000,0.4709,0.1197,0.1195,0.1205,0.2414,0.0000,0.1218,0.1212,0.0000,0.2424,0.2409,0.2399,0.0000,0.0213,0.0000,0.0247,0.1149,0.0000,0.2264,0.0306,0.0000,0.0000
0.0217,0.0308,0.0304,0.0000,0.0448,0.0227,0.0000,0.0425,0.2342,0.0000,0.1190,0.2536,0.2406,0.1202,0.1202,0.0000,0.0320,0.0000,0.4790,0.1553,0.2349,0.2327,0.0436,0.3388,0.1125,0.1106,0.1082,0.0000,0.2179,0.1211,0.1008,0.0000,0.0000,0.0674,0.1818,0.0888,0.0768,0.0000,0.0000,0.0780,0.1742,0.0000,0.1067,0.3219,0.0765,0.1163,0.2049,0.1033,0.0000,0.0000,0.0000,0.1602,0.2071,0.1149,0.1153,0.3499,0.1178,0.0000,0.1189,0.1196,0.1202,0.2396,0.0124,0.1193,0.1358,0.0000,0.1426,0.1392,0.0000,0.1171,0.0236,0.0241,0.0000,0.2220,0.0000,0.0000,0.0000
