Lux Matrix Export - 2026-03-10 11:07:58
Wall distance: 50.0 cm
Grid resolution: 230x230
Wall size: 100.0 cm
Sample range: +-40 cm, step 10 cm
Rows: Z axis (top +40 to bottom -40)
Columns: Y axis (left -40 to right +40)

Z\Y(cm)	-40	-30	-20	-10	+0	+10	+20	+30	+40
+40	12.6	21.2	31.2	40.9	45.8	41.3	31.6	20.6	12.3
+30	21.3	38.1	61.0	85.1	94.4	82.5	60.3	37.2	21.0
+20	32.7	62.0	106.4	153.6	175.0	152.4	104.4	61.3	31.3
+10	43.0	84.9	156.8	234.0	267.7	232.3	151.1	84.4	40.2
+0	46.5	95.4	179.4	273.4	315.7	266.5	176.5	95.4	45.2
-10	42.6	87.7	156.5	236.3	274.5	237.9	156.0	85.5	40.7
-20	32.9	63.4	109.9	156.0	176.1	156.0	106.3	62.5	31.6
-30	21.3	39.2	64.4	85.6	96.8	86.1	61.6	37.3	20.8
-40	13.1	21.7	32.2	43.4	46.3	42.5	31.8	21.5	12.5
