Lux Matrix Export - 2026-08-14 16:58:23
Wall distance: 50.0 cm
Grid resolution: 30x30
Wall size: 100.0 cm
Sample range: +-40 cm, step 10 cm
Rows: Z axis (top +40 to bottom -40)
Columns: Y axis (left -40 to right +40)

Z\Y(cm)	-40	-30	-20	-10	+0	+10	+20	+30	+40
+40	639.7	796.1	808.3	908.3	866.2	894.0	841.4	760.7	596.3
+30	917.5	1198.8	1352.4	1349.9	1449.3	1292.1	1304.0	1101.7	834.3
+20	1255.0	1676.2	1980.8	1959.7	2095.5	1958.5	1890.8	1573.4	1137.8
+10	1571.1	2214.9	2616.5	2680.2	2503.5	2731.5	2500.5	2003.5	1405.4
+0	2105.0	3044.9	3436.2	3262.8	3174.6	3468.9	3425.8	2831.6	1788.3
-10	1932.1	2598.0	3141.9	2908.6	2954.7	3058.1	3095.5	2329.7	1692.1
-20	1476.4	1942.0	2360.3	2344.0	2315.6	2398.8	2228.5	1821.6	1297.4
-30	1100.5	1441.5	1700.0	1658.5	1846.7	1652.7	1643.7	1338.7	1014.7
-40	776.0	1014.0	1048.2	1187.1	1182.1	1111.6	1134.5	954.4	708.9
